Carimbo de data/hora,"Por favor, leia com atenção todas as informações que constam no Termo de Consentimento Livre e Esclarecido, no link abaixo, e fique à vontade para decidir se deseja ou não participar do estudo. Caso deseje participar, declare a sua participação VOLUNTÁRIA clicando em ACEITO. 

Link para o TCLE",Qual a sua idade?,Como você se identifica?,Qual é a sua identidade de gênero?,Qual é a sua sexualidade?,Qual o seu nível de escolaridade?,Há quanto tempo você trabalha em shopping?,Em qual área você trabalha?,Quantas horas por semana você trabalha no total?,Você tem outro trabalho?,Você possui dependentes financeiros? ,Sua residência é:,Qual a distância de sua residência ao seu lugar de trabalho?,"1.1) Em termos gerais, a minha atividade profissional provoca-me… ",2.1) A falta de possibilidades de desenvolvimento e promoção na carreira ,"2.2) Atitudes negativas relativamente ao nosso trabalho por parte das pessoas a quem presto os meus serviços (ex: clientes, cidadãos, etc.)  ","2.3) Falta de tempo para manter uma boa relação com as pessoas mais próximas (ex: cônjuge, filhos, amigos, etc.) ",2.4) Conflitos e problemas com colegas de trabalho ,2.5) Trabalhar muitas horas seguidas,2.6) Viver com os recursos financeiros/salário de que disponho,2.7) Falta de condições de trabalho,"2.8) Incompreensão face ao nosso trabalho por parte das pessoas a quem presto os meus serviços (ex: clientes, cidadãos, etc.)  ",2.9) Falta de materiais e equipamentos para realizar o meu trabalho,2.10) O excesso de trabalho e/ou tarefas de caráter burocrático,2.11) Ter de realizar muitas horas seguidas de trabalho ,2.12) Conflitos e problemas com superiores hierárquicos ,"2.13) Cumprir com aquilo que é esperado pelas pessoas a quem presto os meus serviços (ex: clientes, cidadãos, etc.)  ",2.14) Falta de tempo para dar apoio e conviver com a minha família/amigos ,2.15) Falta de perspectivas de progressão na carreira ,2.16) A sobrecarga ou excesso de trabalho,2.17) Os conflitos interpessoais com outros colegas de trabalho ,2.18) Falta de meios e condições de trabalho  ,2.19) Salário inadequado/insuficiente ,2.20) A falta de apoio e ajuda por parte dos meus superiores,"2.21) Nível de exigência das pessoas a quem presto os meus serviços (ex: clientes, cidadãos, etc.)  ",2.22) Comportamentos incorretos e/ou inadequados de colegas de trabalho,2.23) Falta de tempo para estar com a família/amigos ,2.24) O favoritismo e/ou discriminação “encobertos” no meu local de trabalho por parte dos meus superiores,Com que frequência você consegue passar tempo de qualidade com familiares e amigos?,"Com que frequência você tem acesso a atividades de lazer, como leitura, assistir filmes ou ir à praia?",Com que frequência você consegue praticar exercícios físicos?,Com que frequência você consegue ir ao médico para check-ups ou cuidar da sua saúde?,Com que frequência você consegue dedicar tempo aos estudos?,Com que frequência você consegue realizar as atividades domésticas necessárias?,Com que frequência você consegue descansar o suficiente no seu cotidiano?,Pontuação
4/8/2025 16:37:35,Aceito,18 a 25,Pardo(a),Homem cis,Homossexual,Superior incompleto,Menos de 1 ano,Alimentação,20 a 25 horas semanais,Não,Não,Própria,0 a 5 km,Moderado stress (2),Moderado stress (2),Bastante stress (3),Pouco stress (1),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Bastante stress (3),Pouco stress (1),Moderado stress (2),Pouco stress (1),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Moderado stress (2),Moderado stress (2),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Bastante stress (3),Nenhum stress (0),Pouco stress (1),Bastante stress (3),(4) Frequentemente,(3) Moderadamente,(3) Moderadamente,(3) Moderadamente,(3) Moderadamente,(2) Razoavelmente,(2) Razoavelmente,
4/8/2025 16:41:15,Aceito,18 a 25,Branco(a),Mulher cis,Heterossexual,Superior cursando,Menos de 1 ano,Comércio,40 a 44 horas semanais,Não,Não,Alugada,0 a 5 km,Moderado stress (2),Bastante stress (3),Bastante stress (3),Elevado stress (4),Pouco stress (1),Bastante stress (3),Bastante stress (3),Pouco stress (1),Moderado stress (2),Nenhum stress (0),Moderado stress (2),Bastante stress (3),Nenhum stress (0),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Moderado stress (2),Pouco stress (1),Moderado stress (2),Nenhum stress (0),Bastante stress (3),Moderado stress (2),Elevado stress (4),Bastante stress (3),(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,(1) Raramente,(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,
4/8/2025 17:21:14,Aceito,30 a 40,Pardo(a),Mulher cis,Heterossexual,Superior cursando,5 a 10 anos,Comércio,44 horas ou mais,Não,Sim,Própria,15 a 20 km,Bastante stress (3),Moderado stress (2),Moderado stress (2),Bastante stress (3),Pouco stress (1),Bastante stress (3),Elevado stress (4),Pouco stress (1),Moderado stress (2),Moderado stress (2),Pouco stress (1),Bastante stress (3),Moderado stress (2),Moderado stress (2),Bastante stress (3),Elevado stress (4),Bastante stress (3),Nenhum stress (0),Pouco stress (1),Moderado stress (2),Moderado stress (2),Bastante stress (3),Nenhum stress (0),Elevado stress (4),Moderado stress (2),(1) Raramente,(1) Raramente,(0) Nunca,(1) Raramente,(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,
4/8/2025 17:22:56,Aceito,25 a 30,Branco(a),Mulher cis,Bissexual,Superior cursando,1 a 2 anos,Comércio,25 a 30 horas semanais,Não,Não,Alugada,5 a 10 km,Moderado stress (2),Bastante stress (3),Pouco stress (1),Bastante stress (3),Pouco stress (1),Elevado stress (4),Bastante stress (3),Moderado stress (2),Pouco stress (1),Pouco stress (1),Moderado stress (2),Elevado stress (4),Pouco stress (1),Moderado stress (2),Elevado stress (4),Moderado stress (2),Moderado stress (2),Pouco stress (1),Moderado stress (2),Moderado stress (2),Pouco stress (1),Moderado stress (2),Pouco stress (1),Elevado stress (4),Moderado stress (2),(1) Raramente,(2) Razoavelmente,(0) Nunca,(1) Raramente,(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,
4/8/2025 17:24:43,Aceito,25 a 30,Preto(a),Mulher cis,Heterossexual,Médio completo,5 a 10 anos,Comércio,35 a 40 horas semanais,Não,Sim,Própria,10 a 15 km,Moderado stress (2),Pouco stress (1),Bastante stress (3),Pouco stress (1),Pouco stress (1),Pouco stress (1),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),Pouco stress (1),Pouco stress (1),Pouco stress (1),Elevado stress (4),Pouco stress (1),Bastante stress (3),Pouco stress (1),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),Moderado stress (2),Pouco stress (1),Pouco stress (1),Pouco stress (1),(1) Raramente,(4) Frequentemente,(3) Moderadamente,(1) Raramente,(4) Frequentemente,(4) Frequentemente,(4) Frequentemente,
4/8/2025 17:25:42,Aceito,25 a 30,Preto(a),Homem cis,Heterossexual,Médio completo,1 a 2 anos,Comércio,44 horas ou mais,Não,Sim,Alugada,20 km ou mais,Elevado stress (4),Moderado stress (2),Bastante stress (3),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Moderado stress (2),Pouco stress (1),Moderado stress (2),Bastante stress (3),Bastante stress (3),Bastante stress (3),Elevado stress (4),Bastante stress (3),Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),(3) Moderadamente,(1) Raramente,(1) Raramente,(1) Raramente,(0) Nunca,(1) Raramente,(0) Nunca,
4/8/2025 18:06:32,Aceito,25 a 30,Pardo(a),Mulher cis,Heterossexual,Superior cursando,1 a 2 anos,Comércio,44 horas ou mais,Não,Não,Própria,0 a 5 km,Elevado stress (4),Elevado stress (4),Moderado stress (2),Elevado stress (4),Moderado stress (2),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Moderado stress (2),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Bastante stress (3),(1) Raramente,(2) Razoavelmente,(4) Frequentemente,(1) Raramente,(4) Frequentemente,(2) Razoavelmente,(1) Raramente,
4/8/2025 18:17:49,Aceito,30 a 40,Pardo(a),Mulher cis,Heterossexual,Superior cursando,10 a 15 anos,Comércio,40 a 44 horas semanais,Não,Sim,Própria,15 a 20 km,Pouco stress (1),Moderado stress (2),Moderado stress (2),Bastante stress (3),,Nenhum stress (0),Nenhum stress (0),,Pouco stress (1),,Pouco stress (1),Pouco stress (1),,Nenhum stress (0),Moderado stress (2),Moderado stress (2),Pouco stress (1),Nenhum stress (0),Pouco stress (1),Bastante stress (3),Pouco stress (1),Nenhum stress (0),Nenhum stress (0),Moderado stress (2),Bastante stress (3),(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,(1) Raramente,(3) Moderadamente,(4) Frequentemente,(2) Razoavelmente,
4/8/2025 19:10:49,Aceito,25 a 30,Branco(a),Mulher cis,Heterossexual,Superior incompleto,5 a 10 anos,Comércio,44 horas ou mais,Não,Sim,Própria,10 a 15 km,Bastante stress (3),Elevado stress (4),Bastante stress (3),Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Moderado stress (2),Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),Moderado stress (2),Bastante stress (3),Elevado stress (4),Bastante stress (3),Bastante stress (3),Bastante stress (3),Elevado stress (4),Moderado stress (2),(1) Raramente,(1) Raramente,(1) Raramente,(0) Nunca,(1) Raramente,(4) Frequentemente,(1) Raramente,
4/8/2025 20:22:55,Aceito,40 ou mais,Pardo(a),Mulher cis,Heterossexual,Fundamental completo,15 anos ou mais,Comércio,40 a 44 horas semanais,Não,Sim,Própria,20 km ou mais,Bastante stress (3),Elevado stress (4),Bastante stress (3),Elevado stress (4),Moderado stress (2),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Moderado stress (2),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),(1) Raramente,(1) Raramente,(0) Nunca,(0) Nunca,(0) Nunca,(2) Razoavelmente,(1) Raramente,
4/8/2025 20:49:46,Aceito,40 ou mais,Branco(a),Homem cis,Heterossexual,Pós-graduação,15 anos ou mais,Comércio,20 a 25 horas semanais,Sim,Não,Própria,5 a 10 km,Pouco stress (1),Pouco stress (1),Pouco stress (1),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),Pouco stress (1),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),Moderado stress (2),Pouco stress (1),Pouco stress (1),Moderado stress (2),Moderado stress (2),(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,(1) Raramente,(2) Razoavelmente,(1) Raramente,(2) Razoavelmente,
4/8/2025 21:09:11,Aceito,18 a 25,Pardo(a),Homem cis,Heterossexual,Superior incompleto,1 a 2 anos,Comércio,44 horas ou mais,Não,Não,Própria,10 a 15 km,Elevado stress (4),Moderado stress (2),Moderado stress (2),Elevado stress (4),Elevado stress (4),Elevado stress (4),Moderado stress (2),Pouco stress (1),Moderado stress (2),Pouco stress (1),Moderado stress (2),Bastante stress (3),Elevado stress (4),Moderado stress (2),Elevado stress (4),Moderado stress (2),Elevado stress (4),Elevado stress (4),Pouco stress (1),Moderado stress (2),Moderado stress (2),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),(1) Raramente,(1) Raramente,(1) Raramente,(1) Raramente,(2) Razoavelmente,(1) Raramente,(1) Raramente,
4/8/2025 22:20:53,Aceito,18 a 25,Branco(a),Homem cis,Homossexual,Médio completo,1 a 2 anos,Alimentação,44 horas ou mais,Não,Não,Própria,5 a 10 km,Bastante stress (3),Moderado stress (2),Moderado stress (2),Bastante stress (3),,Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Moderado stress (2),Bastante stress (3),Moderado stress (2),Bastante stress (3),Bastante stress (3),Moderado stress (2),Pouco stress (1),Pouco stress (1),Pouco stress (1),Pouco stress (1),(1) Raramente,(2) Razoavelmente,(2) Razoavelmente,(1) Raramente,(1) Raramente,(1) Raramente,(1) Raramente,
4/9/2025 11:56:09,Aceito,18 a 25,Branco(a),Mulher cis,Bissexual,Superior cursando,1 a 2 anos,Comércio,40 a 44 horas semanais,Não,Sim,Própria,0 a 5 km,Elevado stress (4),Nenhum stress (0),Bastante stress (3),Elevado stress (4),Nenhum stress (0),Bastante stress (3),Bastante stress (3),Pouco stress (1),Elevado stress (4),Moderado stress (2),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Nenhum stress (0),Bastante stress (3),Nenhum stress (0),Nenhum stress (0),Moderado stress (2),Elevado stress (4),Elevado stress (4),Nenhum stress (0),Elevado stress (4),Elevado stress (4),(1) Raramente,(1) Raramente,(0) Nunca,(1) Raramente,(4) Frequentemente,(1) Raramente,(0) Nunca,
4/9/2025 12:12:25,Aceito,25 a 30,Branco(a),Homem cis,Homossexual,Superior incompleto,5 a 10 anos,Comércio,44 horas ou mais,Não,Não,Alugada,5 a 10 km,Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Elevado stress (4),Bastante stress (3),Elevado stress (4),Elevado stress (4),Elevado stress (4),Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),Bastante stress (3),Bastante stress (3),Elevado stress (4),Elevado stress (4),(1) Raramente,(1) Raramente,(3) Moderadamente,(1) Raramente,(1) Raramente,(1) Raramente,(0) Nunca,
4/9/2025 12:31:06,Aceito,18 a 25,Branco(a),Mulher cis,Bissexual,Superior incompleto,Menos de 1 ano,Comércio,20 a 25 horas semanais,Não,Não,Alugada,0 a 5 km,Moderado stress (2),Pouco stress (1),Bastante stress (3),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Pouco stress (1),Pouco stress (1),Bastante stress (3),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Nenhum stress (0),Pouco stress (1),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Bastante stress (3),Moderado stress (2),Nenhum stress (0),Pouco stress (1),(4) Frequentemente,(3) Moderadamente,(4) Frequentemente,(1) Raramente,(4) Frequentemente,(3) Moderadamente,(3) Moderadamente,
4/9/2025 12:40:11,Aceito,18 a 25,Branco(a),Mulher cis,Bissexual,Superior cursando,3 a 5 anos,Comércio,20 a 25 horas semanais,Sim,Sim,Própria,5 a 10 km,Elevado stress (4),Moderado stress (2),Elevado stress (4),Nenhum stress (0),Bastante stress (3),Moderado stress (2),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Pouco stress (1),Nenhum stress (0),Moderado stress (2),Nenhum stress (0),Nenhum stress (0),Moderado stress (2),Pouco stress (1),Moderado stress (2),Nenhum stress (0),Nenhum stress (0),Pouco stress (1),Pouco stress (1),Elevado stress (4),Nenhum stress (0),Elevado stress (4),(4) Frequentemente,(4) Frequentemente,(4) Frequentemente,(4) Frequentemente,(3) Moderadamente,(4) Frequentemente,(2) Razoavelmente,
